iter	RMSE
484	2712.58389
485	2709.987949
486	2709.039966
487	2708.165054
488	2706.823328
489	2705.370565
490	2704.455435
491	2700.657973
492	2699.752618
493	2694.341817
494	2678.448186
495	2675.929216
496	2674.998577
497	2672.44988
498	2669.207471
499	2667.947404
500	2667.043124
501	2665.730171
502	2664.674758
503	2663.59423
504	2662.707709
505	2659.365778
506	2658.564299
507	2657.248251
508	2656.388504
509	2654.845644
510	2653.693215
511	2652.210745
512	2651.061094
513	2648.985619
514	2648.118756
515	2645.999377
516	2637.923574
517	2637.061451
518	2635.93282
519	2635.051417
520	2634.203774
521	2632.263053
522	2631.425858
523	2630.585795
524	2628.126576
525	2625.803885
526	2624.978332
527	2624.162166
528	2612.183459
529	2611.355788
530	2610.544967
531	2609.731659
532	2608.932304
533	2607.648661
534	2606.855497
535	2606.070478
536	2603.670496
537	2602.881482
538	2602.100312
539	2600.166223
540	2599.39967
541	2598.633253
542	2596.393141
543	2595.609927
544	2593.407247
545	2590.103403
546	2589.34118
547	2587.969348
548	2586.950313
549	2586.115423
550	2583.983325
551	2583.18665
552	2582.106311
553	2581.079795
554	2580.300601
555	2579.269165
556	2578.50213
557	2572.719575
558	2571.942051
559	2571.166739
560	2570.395789
561	2569.198955
562	2568.519362
563	2566.427612
564	2552.656451
565	2551.897701
566	2551.166591
567	2548.970753
568	2544.898482
569	2543.780679
570	2542.726263
571	2539.386437
572	2538.632122
573	2536.936689
574	2536.155947
575	2533.979008
576	2533.279301
577	2529.987294
578	2526.461071
579	2524.496047
580	2523.727904
581	2520.94364
582	2520.186653
583	2519.437877
584	2518.45947
585	2517.122204
586	2516.386631
587	2515.299229
588	2504.746563
589	2502.570386
590	2501.484503
591	2500.775226
592	2498.022592
593	2495.708672
594	2491.326007
595	2489.137672
596	2488.432686
597	2487.521307
598	2486.825886
599	2486.095272
600	2483.814246
601	2482.160637
602	2481.466592
603	2480.335289
604	2479.610969
605	2478.63691
606	2477.385108
607	2475.749517
608	2474.837323
609	2474.080243
610	2473.430856
611	2470.592423
612	2469.868957
613	2469.153834
614	2465.841729
615	2465.164129
616	2456.453105
617	2455.427618
618	2454.707234
619	2442.002178
620	2439.509396
621	2437.660618
622	2434.169071
623	2433.37278
624	2431.199786
625	2429.127018
626	2428.252483
627	2427.570959
628	2426.936151
629	2426.263105
630	2424.809008
631	2424.102865
632	2423.386884
633	2422.764118
634	2419.042069
635	2418.010286
636	2417.30269
637	2416.599204
638	2408.464352
639	2407.601485
640	2405.546824
641	2403.560282
642	2400.919024
643	2400.25655
644	2399.299985
645	2398.599054
646	2397.948676
647	2396.772322
648	2394.691196
649	2393.815159
650	2384.244991
651	2383.546654
652	2382.893366
653	2382.24834
654	2374.270722
655	2373.622595
656	2372.092268
657	2371.365687
658	2367.201785
659	2366.512848
660	2365.822625
661	2364.162895
662	2362.987133
663	2361.495569
664	2357.919141
665	2356.184623
666	2355.54721
667	2354.87088
668	2343.533388
669	2342.948151
670	2342.275041
671	2340.184484
672	2339.366697
673	2336.593727
674	2334.760268
675	2330.416211
676	2329.481282
677	2328.805315
678	2328.133186
679	2327.50856
680	2326.582141
681	2325.929786
682	2324.121674
683	2322.464458
684	2321.799462
685	2321.169062
686	2315.468438
687	2314.79912
688	2314.13875
689	2313.479087
690	2312.808465
691	2312.186679
692	2311.31994
693	2310.718784
694	2310.070519
695	2299.350203
696	2298.502261
697	2297.63974
698	2297.034795
699	2292.420158
700	2290.492746
701	2289.890099
702	2287.481111
703	2286.882822
704	2286.237013
705	2284.522157
706	2283.927699
707	2283.286342
708	2281.601248
709	2278.392346
710	2277.169829
711	2276.325725
712	2275.712073
713	2275.125271
714	2273.57212
715	2268.250435
716	2267.609555
717	2266.97399
718	2265.941513
719	2263.284716
720	2262.460589
721	2261.827036
722	2259.889795
723	2259.256494
724	2258.423877
725	2257.793827
726	2255.219665
727	2254.592433
728	2253.062273
729	2252.20235
730	2248.494229
731	2246.212982
732	2245.654603
733	2244.223709
734	2243.647375
735	2243.020049
736	2242.399409
737	2241.783216
738	2240.942516
739	2240.089639
740	2239.574098
741	2238.954126
742	2238.341479
743	2237.768672
744	2236.886599
745	2236.103327
746	2235.355006
747	2234.74698
748	2234.185518
749	2233.681922
750	2227.082158
751	2226.527511
752	2222.845127
753	2219.182782
754	2218.561009
755	2216.266083
756	2215.716007
757	2214.063918
758	2212.34972
759	2211.746165
760	2211.139679
761	2209.013217
762	2208.46351
763	2207.866321
764	2205.652404
765	2205.057767
766	2204.418801
767	2203.043848
768	2200.512731
769	2199.720512
770	2197.73762
771	2196.947738
772	2196.248043
773	2195.702891
774	2195.109403
775	2194.475005
776	2193.311765
777	2192.7244
778	2190.715613
779	2190.178561
780	2188.635749
781	2187.359054
782	2186.823771
783	2185.128733
784	2184.59647
785	2184.013565
786	2183.437312
787	2182.633685
788	2182.065764
789	2180.574242
790	2179.996476
791	2179.42368
792	2177.706366
793	2176.302139
794	2175.730096
795	2175.157727
796	2174.59936
797	2173.997925
798	2167.63018
799	2166.95847
800	2166.387552
801	2165.823556
802	2162.857697
803	2162.318151
804	2161.758748
805	2161.198052
806	2159.823296
807	2159.261627
808	2158.750146
809	2155.270379
810	2154.712267
811	2154.157482
812	2153.605182
813	2153.054282
814	2149.209219
815	2148.444295
816	2146.555582
817	2144.967673
818	2143.361968
819	2142.736273
820	2142.086933
821	2141.509808
822	2140.93868
823	2140.393166
824	2139.85106
825	2139.28808
826	2138.730061
827	2138.177181
828	2137.633584
829	2137.090002
830	2135.731775
831	2134.07275
832	2133.523772
833	2132.907249
834	2132.419019
835	2131.894322
836	2130.815198
837	2127.775985
838	2127.245424
839	2126.705761
840	2126.169528
841	2124.366125
842	2122.529952
843	2121.960664
844	2118.981053
845	2118.450351
846	2116.698741
847	2116.173846
848	2115.651361
849	2115.126369
850	2114.686831
851	2114.126895
852	2113.474114
853	2112.193065
854	2111.675964
855	2111.126924
856	2110.611586
857	2109.806675
858	2109.296447
859	2107.072347
860	2106.55826
861	2106.046159
862	2103.707127
863	2103.154267
864	2102.620749
865	2100.790682
866	2099.516836
867	2098.826835
868	2097.140641
869	2096.629606
870	2096.092118
871	2094.852253
872	2094.319181
873	2093.821176
874	2093.345468
875	2092.5043
876	2092.006315
877	2090.15115
878	2089.650135
879	2089.122749
880	2085.462179
881	2084.815975
882	2084.312086
883	2078.674609
884	2076.657651
885	2074.540809
886	2074.038047
887	2073.531756
888	2072.594522
889	2069.97061
890	2069.479176
891	2068.981189
892	2067.595939
893	2067.099126
894	2066.604156
895	2066.110934
896	2064.842588
897	2064.343196
898	2063.836705
899	2062.131885
900	2061.641312
901	2061.182393
902	2051.680468
903	2051.189704
904	2049.994227
905	2048.121501
906	2047.621921
907	2045.847902
908	2045.37115
909	2038.792358
910	2038.328956
911	2037.877071
912	2037.388597
913	2036.919424
914	2035.890221
915	2035.410529
916	2027.643996
917	2027.155713
918	2025.053409
919	2020.45155
920	2018.886095
921	2018.398017
922	2017.91822
923	2016.909908
924	2016.426426
925	2015.944809
926	2015.464928
927	2008.26141
928	2006.410326
929	2005.088337
930	2004.267189
931	2003.786764
932	2003.330532
933	2002.359725
934	2001.885095
935	1999.361012
936	1998.08058
937	1997.605608
938	1995.92877
939	1992.805473
940	1992.051354
941	1991.583582
942	1991.130223
943	1990.659961
944	1988.035993
945	1987.566988
946	1982.970523
947	1982.526808
948	1980.976219
949	1979.694738
950	1979.073992
951	1978.612156
952	1976.615944
953	1975.136185
954	1970.821819
955	1970.371491
956	1969.891543
957	1968.025176
958	1966.438508
959	1964.76434
960	1962.150017
961	1961.717467
962	1961.250693
963	1960.682361
964	1960.23596
965	1959.096644
966	1957.59285
967	1957.14148
968	1956.673161
969	1956.212387
970	1954.757173
971	1954.348358
972	1952.071277
973	1950.826835
974	1950.400372
975	1949.943227
976	1949.492857
977	1948.265387
978	1946.937967
979	1946.48234
980	1945.839565
981	1945.384854
982	1943.444517
983	1942.27968
984	1941.826366
985	1940.486106
986	1940.080939
987	1939.626897
988	1939.19281
989	1938.524877
990	1938.073687
991	1937.65004
992	1937.202544
993	1936.170209
994	1935.721973
995	1934.395096
996	1933.947001
997	1931.796515
998	1931.195426
999	1930.747966
